;Accuracy;Chroma Accuracy;Chroma False Alarm Error;Chroma Miss Error;Chroma Precision;Chroma Recall;Chroma Substitution Error;Chroma Total Error;False Alarm Error;Filename;Miss Error;Precision;Recall;Substitution Error;Total Error;accum_energy;average_precision_score;binary_accuracy;binary_crossentropy;cosine_sim;euclidean_distance;f_measure;precision;recall;roc_auc_measure;soft_accuracy;FILEWISE MEAN;FRAMEWISE MEAN
0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-01_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.06633641239570917;0.9336635876042908;3.4494934445768775;0.27302901702183074;2.151750497103763;0.0;0.0;0.0;0.5;0.9336635876042908;;
1;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-01_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.06743411922378449;0.9325658807762155;3.5065741996367934;0.25944507491005847;2.1893521480555425;0.0;0.0;0.0;0.5;0.9325658807762155;;
2;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-02_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.033745186545278354;0.9662548134547216;1.7547497003544743;0.24152968788742865;1.4613007071438973;0.0;0.0;0.0;0.5;0.9662548134547216;;
3;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-02_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.035055960086299895;0.9649440399137001;1.8229099244875944;0.2098847489638127;1.5193702932241606;0.0;0.0;0.0;0.5;0.9649440399137001;;
4;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-03_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.04938867438867439;0.9506113256113257;2.568211068211068;0.25131779723708025;1.8140584595954092;0.0;0.0;0.0;0.5;0.9506113256113257;;
5;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-03_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.05081856992402016;0.9491814300759799;2.6425656360490484;0.22548922265477223;1.8688161898786906;0.0;0.0;0.0;0.5;0.9491814300759799;;
6;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-04_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.040339702760084924;0.9596602972399151;2.097664543524416;0.2174922599217713;1.6690050525883595;0.0;0.0;0.0;0.5;0.9596602972399151;;
7;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-04_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.041535525211440376;0.9584644747885597;2.1598473109948997;0.20494086468263384;1.7081656732140567;0.0;0.0;0.0;0.5;0.9584644747885597;;
8;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-05_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.04575377687527615;0.9542462231247238;2.37919639751436;0.25025135325978043;1.7350499633897964;0.0;0.0;0.0;0.5;0.9542462231247238;;
9;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-05_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.0456798046241332;0.9543201953758668;2.3753498404549265;0.24580202763400213;1.7392363298131848;0.0;0.0;0.0;0.5;0.9543201953758668;;
10;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-06_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.0664694074272824;0.9335305925727176;3.4564091862186843;0.2766129132939572;2.1452705139576054;0.0;0.0;0.0;0.5;0.9335305925727176;;
11;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-06_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.0657022908954343;0.9342977091045657;3.4165191265625836;0.27223587861762066;2.1370965942157656;0.0;0.0;0.0;0.5;0.9342977091045657;;
12;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-07_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.03965450764930254;0.9603454923506974;2.0620343977637323;0.23232727518146293;1.6033057286370498;0.0;0.0;0.0;0.5;0.9603454923506974;;
13;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-07_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.04011988410977079;0.9598801158902293;2.0862339737080813;0.2115501990477487;1.630671622340906;0.0;0.0;0.0;0.5;0.9598801158902293;;
14;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-08_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.05154437127626215;0.9484556287237379;2.680307306365632;0.2571639869244991;1.858023723658462;0.0;0.0;0.0;0.5;0.9484556287237379;;
15;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-08_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.0524176221815139;0.9475823778184861;2.7257163534387225;0.24447657540597365;1.8896519807339025;0.0;0.0;0.0;0.5;0.9475823778184861;;
16;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-09_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.061470067511041074;0.9385299324889589;3.196443510574136;0.327751761965577;1.9401152544286708;0.0;0.0;0.0;0.5;0.9385299324889589;;
17;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-09_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.06022259188846641;0.9397774081115335;3.1315747782002537;0.32513999167884255;1.9146779682925064;0.0;0.0;0.0;0.5;0.9397774081115335;;
18;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-10_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.0553412971533299;0.9446587028466701;2.877747451973155;0.2521606691922206;1.9352502757769428;0.0;0.0;0.0;0.5;0.9446587028466701;;
19;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-10_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.0568193161076888;0.9431806838923112;2.9546044375998175;0.23771618490333749;1.9811525911987784;0.0;0.0;0.0;0.5;0.9431806838923112;;
20;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-11_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.04853321173430612;0.9514667882656939;2.5237270101839187;0.2383808833238687;1.7952165369100364;0.0;0.0;0.0;0.5;0.9514667882656939;;
21;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-11_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.04844759268305922;0.9515524073169408;2.5192748195190795;0.2516632418591631;1.7789438250863747;0.0;0.0;0.0;0.5;0.9515524073169408;;
22;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-12_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.043206256109481915;0.9567937438905181;2.2467253176930595;0.2539882550071101;1.664956404582496;0.0;0.0;0.0;0.5;0.9567937438905181;;
23;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-12_SC06.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.04327859361019001;0.95672140638981;2.2504868677298804;0.24151321881478832;1.6781686719290243;0.0;0.0;0.0;0.5;0.95672140638981;;
24;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;Schubert_D911-13_HU33.npy;1.0;0.0;0.0;0.0;1.0;0.0;0.05683072897914116;0.9431692710208588;2.9551979069153407;0.29944754185179717;1.9194858942266255;0.0;0.0;0.0;0.5;0.9431692710208588;;
